Abuse people's confidences.,H1131
Am good at reading people's intentions from their faces,M11
Am good at saving money.,Q223
Am good at seducing others.,T228
Am good at sensing what others are feeling.,V225
Am good at setting goals for the future.,W300
Am good at taking advice.,H1068
Am good at thinking of solutions that no one else thinks of.*,W267
Am good at understanding others' feelings.,V218
Am good at using people's weak points to my advantage.,T231
Am guided by my intuitions.,H1368
Am guided by my moods.,H941
Am guided by superstitions.,H1464
Am happy doing mindless work.,E106
Am happy with my life.,V185
Am hard to convince.,H687
Am hard to get to know.,"H596, X9"
Am hard to reason with.,H1376
Am hard to satisfy.,H277
Am hard to understand.,"H686, V235"
Am humble about the good things that have happened to me.,V31
Am in awe of simple things in life that others might take for granted.,V278
Am in good physical condition.,Q89
Am inadequate.,T241
Am inclined to forgive others.,H137
Am indifferent to the feelings of others.,X203
Am inexplicably happy some of the time.,E25
Am inflexible when I think I'm right.,T245
Am intentionally different.,T246
Am interested in many things.,H2021
Am interested in money to the point of being able to do risky jobs,S9
Am interested in my personal growth.,E14
Am interested in people.,H21
Am interested in science.,Q69
Am just an ordinary person.,Q103
Am known as a controlling person.,T251
Am known to be a very nervous or tense person.,T255
Am less capable than most people.,P388
Am less likely than most people to lock things up,M10
Am likely to show off if I get the chance.,P441
Am looking for a job.,Q75
Am looking forward to things that are coming in the future.,W125
Am mainly interested in money.,Q179
Am more capable than most others.,P469
Am more likely to be fast and careless than to be slow and plodding.,T260
Am more of a loner than most people.,T261
Am motivated strongly to do some things by the good prospect of obtaining money,S4
"Am moved to action by the possibility of social advancement, even if this involves not playing fair",S7
Am nervous or tense most of the time.,T264
Am never at a loss for words.,H1302
Am never bored.,V37
Am never too busy to help a friend.,V24
Am nice to people I should be angry at.,Q202
Am nice to store clerks.,E22
Am no danger to society.,Q68
Am no more special than anyone else.,T273
Am not a caring person.,T274
Am not a dependable person.,T275
Am not a detail-oriented person.,V227
Am not a joyful person.,T278
Am not a sympathetic person.,T280
Am not a very enthusiastic person.,Y1
Am not affected by either praise or criticism.,V144
Am not afraid of providing criticism.,H459
Am not all that curious about the world.,V115
Am not always honest with myself.,P490
Am not always what I appear to be.,P447
Am not an empathic person.,T286
Am not an extraordinary person.,P462
Am not as strict as I should be.,E96
Am not as tactful as I should be.,T288
Am not bothered by crazy thoughts.,H359
Am not bothered by difficult social situations.,X209
Am not bothered by disorder.,E7
Am not bothered by messy people.,E100
Am not concerned with making a good impression.,P397
Am not confident that my way of doing things will work out for the best.,V281
Am not considered attractive by others.,Q106
Am not considered to have new and different ideas.,V189
Am not disturbed by events.,H386
Am not easily affected by my emotions.,X202
Am not easily amused.,X180
Am not easily annoyed.,X23
Am not easily bothered by things.,X138
Am not easily distracted.,H268
Am not easily disturbed by events.,"H1046, X11"
Am not easily fooled by others.,H1113
Am not easily frustrated.,X59
Am not easily made to feel jealous.,Q144
Am not easily stirred.,"H562, X32"
Am not embarrassed easily.,X242
Am not fun to be with.,V76
Am not good at deceiving other people.,Q71
Am not good at describing the emotions I feel throughout the day.,T309
Am not good at figuring out what really matters.,V192
Am not good at getting people to like me.,P430
Am not good at hiding my intentions from others.,P380
Am not good at judging people,M54
Am not good at knowing human nature,M42
Am not good at planning group activities.,V135
Am not good at sports.,Q86
Am not good at taking charge of a group.,V105
Am not good at telling jokes.,P468
Am not good at working with a group.,V16
Am not handicapped in any way.,Q232
Am not happy until all the details are taken care of.,T315
Am not highly motivated to succeed.,X110
Am not in the mood for anything.,H619
Am not in touch with my feelings.,E9
Am not interested in abstract ideas.,X228
Am not interested in other people's problems.,X227
Am not interested in romance.,T321
Am not interested in speculating about things.,X214
Am not interested in theoretical discussions.,X239
Am not known for my sense of humor.,V45
Am not likely to notice small visual details.,D89
Am not much of a flirt.,T324
Am not picky about food.,E12
Am not really interested in others.,X165
Am not sure where my life is going.,X105
Am not very good at getting things done.,V64
Am not willing to let things rest.,H712
Am odd.,T328
Am often accused of being narrow-minded.,T329
Am often afraid of new or unexpected situations,S15
Am often afraid.,T331
Am often asked by friends and family to help resolve fights.*,W220
Am often aware how the color and lighting of a room affects my mood.,D117
Am often being lied to.,T333
Am often bored while working.,H2002
Am often bored.,A99
Am often consulted by my friends about their problems,M47
Am often disappointed by people.,T336
Am often down in the dumps.,H640
Am often exploited by others.,T338
Am often fidgety.,R15
Am often in a bad mood.,X84
Am often just used by people instead of being treated as a person.,T341
Am often late to work.,X93
Am often late.,E137
Am often mistaken for being younger than my age.,Q94
Am often out for revenge.,T345
Am often puzzled by sensations in my body.,A86
Am often rushed.,E149
Am often sensitive to the smoothness or roughness of objects that I touch.,D66
Am often so assertive or sociable that I surprise myself.,R18
Am often so restless that it is impossible for me to sit still.,R73
Am often the last to understand the point of a joke,M33
Am often told by others that I understand them,M59
Am often too truthful about others' flaws.,T353
Am often worried by things that I said or did,S3
Am on good terms with nearly everyone.,H37
Am one of the most curious and inquiring persons I know.,D15
Am only kind to others if they have been kind to me.,V195
Am open about my feelings.,X148
Am open about myself to others.,X85
Am open to arguments.,H1143
Am open to change.,X62
Am open to ideas.,H1142
Am open to new experiences.,Q61
Am out for my own personal gain.,H1325
Am paralyzed by a fear of being alone.,T364
Am paralyzed by a fear of rejection.,T365
Am passionate about anything I'm involved in.,E39
Am passionate about bettering the world's condition.,D19
Am passionate about causes.,E174
Am patient with people who annoy me.,Q59
Am physically out of shape.,Q133
Am plain in appearance.,Q25
Am polite to strangers.,E29
Am poorly informed.,H1391
Am preoccupied with myself.,H717
Am pretty trusting of others' motives.,T371
Am prone to addiction.,Q177
Am prone to altered states of consciousness.,T373
Am prone to bouts of rage.,T374
Am prone to complain about my health.,T375
Am proud that I am an ordinary person.,V179
Am put off by people who touch or hug when speaking to me.,A8
Am put off by unexpected events.,H957
Am quick to admit making a mistake.,V266
Am quick to blame others when I get into trouble.,T380
Am quick to correct others.,H289
Am quick to judge others.,E65
Am quick to quit when the going gets tough.,T382
Am quick to think I'm about to be dumped or rejected.,T383
Am quick to think others don't like me.,T384
Am quick to understand things.,X100
Am quiet around strangers.,"H661, X260"
Am quite relaxed in front of strangers.,T388
Am rarely a patient person.,D7
Am rarely aware of how an artist might be using light and color to convey mood when I look at paintings or pictures.,D35
Am rarely aware of the natural beauty in the environment.,V208
Am rarely aware of the texture of things that I hold.,D27
Am rarely consulted for advice by others.,V262
Am rarely scared by loud noises.,D55
Am ready for a fight when someone tries to take advantage of me.,T391
Am ready to act on the spot.,H338
Am ready to do battle for a cause.,H442
Am ready to hit someone when I get angry.,T393
Am relaxed most of the time.,E141
Am resigned to my fate.,H1166
Am rigid in the way I want things organized.,T397
Am sad most of the time.,T398
Am satisfied with my life.,V169
Am secure in my relationships.,T400
Am seldom aware of the sounds of birds in the neighborhood.,D85
Am seldom bothered by the apparent suffering of strangers.,D93
Am seldom concerned about the possibility of failing when trying something new.,D91
Am self-destructive,M39
Am sensitive to the needs of others.,Q256
Am skilled in handling social situations.,H1366
Am slow to take the blame.,T406
Am sluggish much of the time.,T407
Am so good at controlling others that it sometimes scares me.,R76
"Am sometimes full of thoughts, ideas, and images in my mind.",D77
Am sometimes so preoccupied with my own thoughts I don't realize others are trying to speak to me,T412
Am sometimes sure that other people can tell what I am thinking.,T413
Am strongly influenced by the good moods of others.,A72
Am sure of my ground.,H352
Am swayed by my emotions.,E146
Am taken advantage of by others.,V336
Am thankful for the people who helped me during my childhood.,W108
Am the first to act.,H518
Am the last to laugh at a joke.,H1447
Am the life of the party.,"H34, X94"
Am the most important person in someone else's life.,V124
Am thrilled when I learn something new.,V75
Am told by friends and family that I have good ideas for solving problems.,W264
Am told by friends that they do not really know who I am.,V34
Am told by my friends that I am a hard worker.,W157
Am told by people that I am easy to get to know.,W176
Am told that I am a strong but fair leader.,V239
Am told that I am down to earth.,V301
Am told that I am too blunt.,T424
Am told that things I say are not polite,M63
Am too afraid to do much of anything.,T425
Am totally consumed by one or more interests or hobbies.,D25
Am true to my own values.,V196
Am true to myself in all circumstances.,H385
Am trusted by other people.,W173
Am trusted to keep secrets.,V10
Am unable to deal with the problems in my work.,X72
Am unable to do some of the things I would like to do because of my health.,C23
Am unable to do things properly.,X132
Am unable to speak up for myself.,H986
Am unaffected by other people's happiness.,A11
Am unaffected by the suffering of others.,A67
Am unaware of what's happening.,H1389
Am uncomfortable touching other people in intimate situations.,T436
Am under constant pressure.,P472
Am uniquely qualified to make important contributions.,V194
Am unpredictable--people never know what I am going to say.,D51
"Am unsure about questions concerning politics, religion, or morality.",A131
Am untouched by other people's feelings.,H417
Am unwilling to accept apologies.,V220
Am unwilling to change appointments.,H122
Am upset by the misfortunes of strangers.,A135
Am usually a patient person.,D63
Am usually able to forgive people when they make me angry*,W94
Am usually active and full of energy.,C4
"Am usually aware of the emotions that are portrayed in various types of art (for example, painting, photography, music, dance).",D72
Am usually aware of the way that I'm feeling.,A122
Am usually convinced that my friends and romantic partners will betray me.,T447
"Am usually in an average sort of mood, not too high and not too low.",R25
Am usually pretty good at keeping track of several things that are happening around me.,D57
Am usually right.,T449
Am usually skeptical about the future.,T450
Am usually unaware of how the setting is used to convey the mood of the characters in movies.,D48
Am valued by my friends for my good judgment.,V333
Am valued by others for my objectivity.,V154
Am very aware of my surroundings.,V7
Am very independent.,T455
Am very insecure in my relationships.,T456
Am very pleased with myself.,"H737, X36"
Am very sensitive and easily hurt.,V203
Am very shy in social situations.,V91
Am wary of others.,H1001
Am way too detail-oriented.,T462
Am well-informed.,H1253
Am who I am because of my faith.,V210
Am willing to admit it when I make a mistake.,V337
Am willing to bend the truth if it will benefit me.,T466
Am willing to cheat in a game.,T467
Am willing to explain things twice.,H169
Am willing to make compromises.,H135
Am willing to make personal sacrifices in order to help people I care about.,D52
Am willing to take a stand.,Q252
Am willing to take risks to establish a relationship.,V17
Am willing to take risks.,Q95
Am willing to talk about myself.,H9
Am willing to try again and again when I fail at something.*,W158
Am willing to try anything once.,X3
Am without talent.,Q114
Am worthless.,T476
Am worthy of special recognition.,T477
Amuse my friends.,H1093
Amuse myself easily.,H2003
Anticipate the needs of others.,E124
Apologize a lot.,H2004
Appreciate all forms of art.,V243
Appreciate good manners.,H210
Appreciate people who wait on me.,E128
Appreciate the viewpoints of others.,H1340
Approach others in a positive manner.,H546
Arrive on time.,H229
"As a child, did a lot of things to get people's approval",S35
Ask for lots of advice from others.,V229
Ask questions that nobody else does.,H1234
Ask too many questions.,H1442
Assume that most people are in it only for themselves.,T485
Assume that most people lie or cheat to get ahead.,T486
Assume that most people will lie to get what they want.,T487
Attract attention from the opposite sex.,P347
Automatically take charge.,E1
Avoid activities that are physically dangerous.,V172
Avoid appearing superior to others.,Q56
Avoid being a bother to anyone.,Q244
Avoid calling attention to my weaknesses.,P480
Avoid company.,H598
Avoid contacts with others.,H648
Avoid crowds.,"H650, X22"
Avoid dangerous situations.,H317
Avoid dealing with awkward situation.,V47
Avoid dealing with uncomfortable emotions.,V29
Avoid demonstrating my skills for fear of being embarrassed,S13
Avoid difficult reading material.,X109
Avoid doing things behind another person's back.,Q181
Avoid eye contact.,H658
Avoid going to unknown places,S26
Avoid imposing my will on others.,Q178
Avoid interfering in the lives of others.,Q3
Avoid mistakes.,H252
Avoid philosophical discussions.,X248
Avoid responsibilities.,H827
Avoid romantic intimacy at all costs.,T512
Avoid small talk.,H593
Avoid the things I fear at all costs.,T515
Avoid throwing things away for fear that I might need them later.,R74
Awaken with a sense of excitement about the day's possibilities.,V326
Back out at the last moment.,H1169
Barge in on conversations.,H764
"Base my goals in life on inspiration, rather than logic.",A26
Become aggressive when I feel hurt.,Q218
Become angry when I am not invited to a social event.,T520
Become anxious in new situations,M45
Become easily frightened.,D1
Become emotional for no apparent reason.,T522
Become frustrated and angry with people when they don't live up to my expectations.,D100
Become intrusive in relationships.,T524
Become overwhelmed by events.,H959
Become restless if I'm not accomplishing something.,V56
Begin to answer before the other person finishes the question.,R10
Begin to panic when there is danger.,Q50
Behave as if my work is more important than anything else.,T529
Behave as if others are just as important as me.,W203
Behave in a way that is acceptable to society.,Q192
Behave in unusual and strange ways.,V103
Behave properly.,H218
"Believe I have 'ESP,' or extrasensory perception.",T533
Believe I have supernatural powers.,T534
Believe in a life after death.,W348
Believe in a logical answer for everything.,X75
Believe in a supernatural source of peace and love.,Q26
Believe in a universal power or God.,V39
Believe in an eye for an eye.,X173
Believe in eating healthily.,X60
Believe in equality between all races.,P353
Believe in God.,Q193
Believe in human goodness.,H114
Believe in life after death.,P483
Believe in one true religion.,X35
Believe in psychic forces and fortune telling.,T539
Believe in sexual modesty.,P464
Believe in the goodness of human nature.,Q73
Believe in the importance of art.,X123
Believe in the importance of tradition.,X207
Believe in the power of astrology to predict the future.,T543
Believe in the power of fate.,P360
Believe in the power of tarot cards to predict the future.,T545
Believe in things that have no scientific explanation.,P417
Believe in universal harmony.,Q200
Believe it is always better to be safe than sorry.,V62
Believe only in myself.,H698
Believe strongly that the world would be a much better place if I had my way.,T552
Believe that all events can be explained scientifically.,P400
Believe that appearances are important.,E28
Believe that art is very important.,W13
Believe that both feelings and thinking are important in making decisions and solving problems.,W282
Believe that by working hard a person can achieve anything.,P442
Believe that cheating is ok if you get away with it.,T556
Believe that cheating is wrong because it is unfair to others.,A55
Believe that children need firm discipline.,E93
Believe that criminals should receive help rather than punishment.,X219
Believe that crying helps me feel better.,E51
Believe that each person has a purpose in life.,V280
Believe that emotions give direction to life.,A124
Believe that events in my life are determined only by me.,P409
Believe that everyone should have a say.,V307
Believe that everyone's rights are equally important.,V120
Believe that everything will work out in the end.,E21
Believe that giving is more important than receiving.,W204
Believe that God / a Higher Power acts upon our lives.,W349
Believe that good will always beat evil.,W124
Believe that honesty is the basis for trust.,V86
Believe that human nature is essentially bad.,T568
Believe that I am always right.,T569
Believe that I am better than others.,"H736, X61"
Believe that I am important.,H740
Believe that I can heal others by sending them thoughts of positive energy.,T573
Believe that I can work hard to achieve a positive future.,W127
Believe that I have a serious disease.,A94
Believe that I know more than most supposed 'experts.',T575
Believe that important decisions should be based on logical reasoning.,A6
Believe that it is best to forgive and forget.,V193
Believe that it is more important to be myself than to be popular.,W172
Believe that it's a dog-eat-dog world.,T577
Believe that it's best not to let other people get to know you too well.,T578
Believe that it's dangerous to show your real feelings.,T579
Believe that kids need tough love.,X222
Believe that laws should be strictly enforced.,X178
Believe that leaders should let everyone have a say in what the group does.,V283
Believe that life is more of a playground than a battlefield.,V323
Believe that medical tests are often inaccurate.,C11
Believe that most people dislike helping other people.,Q85
Believe that most people have ulterior motives when doing good deeds.,T588
Believe that most people make friends only because they expect friends to be useful.,T589
Believe that most people only care about themselves.,T590
Believe that most people stay friends only as long as it is to their advantage.,T591
Believe that most people tell the truth.,Q55
Believe that most people would betray me if I let them.,T593
Believe that most people would lie to get ahead.,Q10
Believe that most questions have one right answer.,Q184
Believe that my friends will eventually drop me in favor of smarter and more interesting friends.,T598
Believe that my life is much more of a gift than a problem.*,W107
Believe that my success depends on ability rather than luck.,P435
Believe that no one deserves to be discriminated against because of the color of their skin*,W77
Believe that one needs to show their talents and abilities in order to get opportunities and make progress.*,W249
Believe that one of the most important achievements in life includes acquiring material possessions,M28
Believe that one race of people is better than others.,P467
Believe that others are drawn to me because I am humble.,V42
Believe that others have good intentions.,H549
Believe that our human nature brings us together to work for common goals.,V204
Believe that parents coddle their children too much.,X192
Believe that people are basically honest and good.,T604
Believe that people are basically moral.,X189
Believe that people are either good or bad.,Q76
Believe that people are essentially evil.,X80
Believe that people often are trying to take advantage of me.,T608
Believe that people seldom tell you the whole story.,X139
Believe that people should fend for themselves.,X70
Believe that planning ahead makes things turn out better.,P428
Believe that privacy is very important.,E43
Believe that religion is foolish.,Q18
Believe that small lies are ok.,T614
Believe that some orders are meant to be ignored.,T615
Believe that some people are born lucky.,P404
Believe that superpowers are possible in humans.,T617
Believe that the end justifies the means.,H433
Believe that the only person you can truly trust is yourself.,T619
Believe that the poor deserve our sympathy.,A24
Believe that the rules don't apply to me.,T621
Believe that the things I own say a lot about how well I'm doing in life,M55
Believe that the world is controlled by a few powerful people.,P369
Believe that there are many sides to most issues.,E138
Believe that there are no 'honest' mistakes - there is always an ulterior motive.,T623
Believe that there are universal truths.,X162
Believe that there is never an excuse for lying.,P383
Believe that there is no absolute right and wrong.,X184
Believe that things go best when people do things the way I do them or want them done.,T625
Believe that too much tax money goes to support artists.,X20
Believe that unfortunate events occur because of bad luck.,P394
Believe that we coddle criminals too much.,X130
Believe that we should be tough on crime.,X157
"Believe that, sooner or later, people always let you down.",T628
Believe the world would be better off without me.,T630
Believe worry causes me to lose sleep.,T631
Blame my mistakes on others.,T632
Blame myself for anything that goes wrong.,T633
Blend into the crowd.,H1044
Blurt out whatever comes into my mind.,H1176
Boast about my virtues.,H746
Borrow money that I won't pay back.,V309
Boss people around.,H724
Bottle up my feelings.,H1146
Break my promises.,"H1018, X51"
Break rules.,H1346
Burst into tears.,H944
Buy clothes without trying them on first.,E32
Buy more than I need.,P492
Buy only the things I need,M34
Call for action while others talk.,V160
Call my friends when they are sick.,V272
Can accept a lot from others.,H128
Can accept criticism without getting upset.,X269
"Can always say ""enough is enough.""",V240
Can be confused about the emotions I'm feeling.,A22
Can be relied upon by others.,Q83
Can be stirred up easily.,H921
Can be trusted to keep my promises.,V163
Can be very cruel to people.,T652
Can be vicious.,T653
Can become tearful thinking of the goodness of others.,V60
Can bend to the will of others.,Q221
"Can change course, if necessary.",H1282
Can change the weather simply by thinking about it.,T656
Can clearly picture in my mind what I want to happen in my future.,V142
Can control my emotions.,V137
Can control objects with my mind.,T658
Can control the outcome of events.,H2005
Can create any impression that I want.,V212
Can easily become furious.,T661
Can easily figure out what another person wants to talk about,M18
Can easily link facts together.,H1321
Can easily push myself forward.,H533
Can easily tell if someone else wants to enter a conversation,M02
Can easily visualize how the freeways in my region link up,M30
Can express love to someone else.,V234
Can face my fears.,V228
"Can feel close to someone, even in moments of silence.",A77
Can find something of interest in any situation.,V268
Can find the positive in what seems negative to others.,V65
Can get along with most people.,H132
"Can get anxious, depressed, or irritable for no reason.",V338
Can get out of difficult situations.,H490
"Can go from cheerful to furious, or vice versa, very quickly.",T668
Can handle a lot of information.,H1322
Can handle any situation life throws my way.,T670
Can handle complex problems.,H470
Can hardly wait to see what life has in store for me in the years ahead.,V286
Can improvise.,H1279
Can keep a secret.,H150
Can laugh at myself.,E44
Can make anyone believe anything I want them to.,P375
Can make myself work on a difficult task even when I don't feel like trying.,D109
Can manage many things at the same time.,H457
Can never find anything.,E172
Can never keep a secret.,E37
Can perform a wide variety of tasks.,H492
Can play many roles convincingly.,R78
Can predict the outcome of events.,H2006
Can read books written in Chinese.,P457
Can read other peoples’ body language such as facial expressions.,W330
Can read people like a book.,P351
Can recall many events before the age of three.,A9
Can remain cool-headed when stressed out.,T682
Can say things beautifully.,H1247
Can see different points of view.,E153
Can see into the future.,T683
Can see special connections between seemingly unrelated objects or events.,V232
Can see the funny side of a painful situation.,Q216
Can sense how things will turn out.,H2007
Can sense the presence of strange persons or forces.,V270
Can sense when danger or harm is coming.,V116
Can slow myself down when I want to.,R51
Can spend hours doing nothing.,H626
Can spot faulty reasoning.,H491
Can stand a great deal of stress.,H362
Can stand criticism.,H356
"Can stay focused on tasks, even when I'm happy and excited about an upcoming event.",D50
Can stay on a diet.,V219
Can switch gears easily.,H461
Can tackle anything.,H439
Can take a joke.,H912
Can take my mind off my problems.,H1091
Can take strong measures.,H409
Can take the viewpoint of others.,H1345
Can talk my way out of anything.,P451
Can talk others into doing things.,H1137
Can tell from persons' attitudes what they will do next,M21
Can think of a snappy reply.,H458
Can think of many different ways to solve problems.,W266
Can think of one or more times in my life where I was very brave.*,W362
Can understand a stranger's character at first sight,M26
Can understand the “rules of the groups” of which I am a member.,W334
Can usually appreciate other points of view,M65
Can usually bring my attention back to whatever I was doing after being interrupted.,D34
Can work under pressure.,H391
Cannot be counted on to get things done.,T734
Cannot control the urge to hurt myself when something goes wrong.,T735
Cannot hold back my tongue when criticized.,T736
Cannot imagine lying or cheating.,V18
